keys,en,ru,de
KEY,English_NAME,Русский,Deutsch
KEY_PLAY,Play,Играть,Spielen
KEY_SETTINGS,Settings,Настройки,Einstellungen
KEY_LANGUAGE,Language,Язык,Sprache
KEY_LANGUAGESELECT,Languages,Языки,Sprachauswahl
KEY_BACK,Back,Назад,Zurück
KEY_QUIT,Quit,Закрыть,Beenden
KEY_PLAY_VIDEO,Play video,Воспроизвести видео,Video abspielen
KEY_PLACEHOLDER,Placeholder:,Заполнитель:,Platzhalter:
KEY_VALUE,Value:,Ценность:,Wert:
KEY_APPLY,Apply,Применить,Anwenden
KEY_PLACEHOLDER_AGE,I'm {{OLD}}  years old.,Мне {{OLD}} лет.,Ich bin {{OLD}} Jahre alt.
KEY_PLACEHOLDER_AGE_NAME,"My name is {{NAME}}, and I'm {{OLD}}  years old.",Меня зовут {{NAME}} и мне {{OLD}} лет.,Mein Name ist {{NAME}} und ich bin {{OLD}} Jahre alt.
KEY_CAPS_OR_WORD,OR,ИЛИ,
KEY_CAPS_AND_WORD,AND,И,
ACTION_TEST_NAME,Action_Test,Тестовое Действие,
ACTION_EAT_NAME,Eat,Съесть,
ACTION_DRINK_NAME,Drink,Выпить,
ACTION_COOK_NAME,Cook,Готовить,
PROPERTY_EXHAUSTION_NAME,Exhaustion,Истощение,
PROPERTY_EXHAUSTION_DISCRIPTION,,,
PROPERTY_FATIGUE_NAME,Vigor,Бодрость,
PROPERTY_FATIGUE_DISCRIPTION,,,
PROPERTY_HUNGER_NAME,Satiety,Сытость,
PROPERTY_HUNGER_DISCRIPTION,,,
PROPERTY_NONE_PROPERTY_NAME,Nothing!,Ничего!,
PROPERTY_NONE_PROPERTY_DISCRIPTION,,,
PROPERTY_PSYCH_NAME,The psyche,Психика,
PROPERTY_PSYCH_DISCRIPTION,,,
PROPERTY_RADIATION_NAME,Radiation,Радиация,
PROPERTY_RADIATION_DISCRIPTION,,,
PROPERTY_THIRST_NAME,Thirst,Жажда,
PROPERTY_THIRST_DISCRIPTION,,,
EVENT_ACTION_DOTS_NAME,…,…,…
EVENT_ACTION_DOTS_DISCRIPTION,…,…,…
EVENT_BS_DEFUALT_NAME,Go in search,Пойти на поиски,
EVENT_BS_DEFUALT_START,There are few vegetation around you.  Maybe you should look further?,Вокруг вас немного растительности. Может стоит поискать дальше?,
EVENT_ACTION_SEARCH_NAME,Search,Искать,
EVENT_ACTION_FINISH_NAME,Return,Вернуться,
EVENT_BS_FLOWERS_NAME,Flower meadow,Цветочная поляна,
EVENT_BS_FLOWERS_START,You went to the clearing with flowers,Вы вышли на поляну с цветами,
EVENT_ACTION_COLLECT_SOME_NAME,Gather a little,Собрать немного,
EVENT_ACTION_PASS_BY_NAME,Pass by,Пройти мимо,
EVENT_BS_FLOWERS_REWARD_1,You have collected several colors: \ n,Вы собрали несколько цветов:\n,
EVENT_BS_EXIT,"You decide not to waste time collecting them.  Who knows, maybe you can find something better ...","Вы решаете не тратить время на их сбор. Кто знает, может вы сможете найти что то получше…",
EVENT_BS_NOTHING_NAME,Nothing!,Ничего!,
EVENT_BS_NOTHING_START,"After some time, you notice that you walk in circles.  You could not find something useful ...","Через какое то время вы замечаете, что ходите кругами. Вам не удалось найти что то полезное…",
EVENT_BS_WOOD_1_NAME,Flying trees,Поваленые деревья,
EVENT_BS_WOOD_1_START,"Wandering around the district you notice, fallen trees","Бродя по округе вы замечаете, поваленные деревья",
EVENT_BS_WOOD_1_REWARD,You collected a little brushwood,Вы собрали немного хвороста,
EVENT_BS_WOOD_2_NAME,Apple,Яблоня,
EVENT_BS_WOOD_2_START,,,
EVENT_BS_WOOD_3_NAME,Forest spring,Лесной родник,
EVENT_BS_WOOD_3_START, ,,
EVENT_BS_WOOD_HOUSE_NAME,A tree hut,Древянная хижина,
EVENT_BS_WOOD_HOUSE_START,,,
EVENT_BS_ANIMAL_CORPSE_NAME,Torn animal,Растерзанное животное,
EVENT_BS_ANIMAL_CORPSE_START,,,
ITEM_BUILDING_BONFIRE_NAME,Caster,Кастер,
ITEM_BUILDING_BONFIRE_DISCRIPTION,,,
ITEM_FOOD_CANNED_FOOD_NAME,Conserva,Консерва,
ITEM_FOOD_CANNED_FOOD_DISCRIPTION,,,
ITEM_FOOD_FRESH_MEAT_NAME,Raw meat,Сырое мясо,
ITEM_FOOD_FRESH_MEAT_DISCRIPTION,,,
ITEM_FOOD_FRY_MEAT_NAME,Fried meat,Жаренное мясо,
ITEM_FOOD_FRY_MEAT_DISCRIPTION,,,
ITEM_FOOD_WATER_CLEAR_NAME,Pure water,Чистая вода,
ITEM_FOOD_WATER_CLEAR_DISCRIPTION,,,
ITEM_RESOURCE_DUCT_TAPE_NAME,Insulating tape,Изолента,
ITEM_RESOURCE_DUCT_TAPE_DISCRIPTION,,,
ITEM_RESOURCE_FLINT_NAME,Flint,Кремень,
ITEM_RESOURCE_FLINT_DISCRIPTION,,,
ITEM_RESOURCE_STICK_NAME,Stick,Палка,
ITEM_RESOURCE_STICK_DISCRIPTION,,,
ITEM_RESOURCE_WOOD_NAME,Wood,Деревяшка,
ITEM_RESOURCE_WOOD_DISCRIPTION,,,
ITEM_TOOL_HOMEMADE_AXE_NAME,Homemade ax,Самодельный топор,
ITEM_TOOL_HOMEMADE_AXE_DISCRIPTION,,,
ITEM_TOOL_HOMEMADE_KNIFE_NAME,Homemade knife,Самодельный нож,
ITEM_TOOL_HOMEMADE_KNIFE_DISCRIPTION,,,
ITEM_TOOL_PRIMUS_NAME,Primus,Примус,
ITEM_TOOL_PRIMUS_DISCRIPTION,,,
ITEM_TOOL_SAUCEPAN_NAME,Pot,Кастрюля,
ITEM_TOOL_SAUCEPAN_DISCRIPTION,,,
SEARCH_DROP_NONE_NAME,Searked nothing,Поис ничего,
SEARCH_DROP_TEST_NAME,Search Test,Поиск Тест,
SEARCH_DROP_FOREST_BIOME_NAME,Search for forest,Поиск Лес,
STRUCTURE_CROSSROAD_NAME,Transition,Переход,
STRUCTURE_CROSSROAD_DISCRIPTION,It looks empty,Выглядит пустым,
STRUCTURE_HOUSE_NAME,House,Дом,
STRUCTURE_HOUSE_DISCRIPTION,An ordinary residential building,Обычный жилой дом,
INVENTORY_TITLE,Inventory,Инвентарь,
LOCATION_TITLE,Location,Локация,
KEY_BUTTON_DROP,Drop,Бросить,
KEY_BUTTON_PICKUP,Pick up,Подобрать,
BIOME_GRASS_NAME,Polyana,Поляна,
BIOME_GRASS_DISCRIPTION,Just a cover of different herbs,Просто кавер из разных трав,
BIOME_FOREST_NAME,Forest,Лес,
BIOME_FOREST_DISCRIPTION,Thickets of trees,Заросли из деревьев,
