keys,en,ru,de
KEY,English_NAME,Русский,Deutsch
KEY_PLAY,Play,Играть,Spielen
KEY_SETTINGS,Settings,Настройки,Einstellungen
KEY_LANGUAGE,Language,Язык,Sprache
KEY_LANGUAGESELECT,Languages,Языки,Sprachauswahl
KEY_BACK,Back,Назад,Zurück
KEY_QUIT,Quit,Закрыть,Beenden
KEY_PLAY_VIDEO,Play video,Воспроизвести видео,Video abspielen
KEY_PLACEHOLDER,Placeholder:,Заполнитель:,Platzhalter:
KEY_VALUE,Value:,Ценность:,Wert:
KEY_APPLY,Apply,Применить,Anwenden
KEY_PLACEHOLDER_AGE,I'm {{OLD}}  years old.,Мне {{OLD}} лет.,Ich bin {{OLD}} Jahre alt.
KEY_PLACEHOLDER_AGE_NAME,"My name is {{NAME}}, and I'm {{OLD}}  years old.",Меня зовут {{NAME}} и мне {{OLD}} лет.,Mein Name ist {{NAME}} und ich bin {{OLD}} Jahre alt.
ACTION_TEST_NAME,Action_NAME Test,Тестовое Действие,Testaktion
ACTION_EAT_NAME,Eat,Съесть,Essen
ACTION_DRINK_NAME,Drink,Выпить,Trinken
ACTION_COOK_NAME,Cook,Готовить,Vorbereiten
PROPERTY_EXHAUSTION_NAME,Exhaustion,Истощение,Erschöpfung
PROPERTY_EXHAUSTION_DISCRIPTION,,,
PROPERTY_FATIGUE_NAME,Vigor,Бодрость,Kraft
PROPERTY_FATIGUE_DISCRIPTION,,,
PROPERTY_HUNGER_NAME,Satiety,Сытость,Sättigung
PROPERTY_HUNGER_DISCRIPTION,,,
PROPERTY_NONE_PROPERTY_NAME,Nothing!,Ничего!,Nichts!
PROPERTY_NONE_PROPERTY_DISCRIPTION,,,
PROPERTY_PSYCH_NAME,The psyche,Психика,Die Psyche
PROPERTY_PSYCH_DISCRIPTION,,,
PROPERTY_RADIATION_NAME,Radiation,Радиация,Strahlung
PROPERTY_RADIATION_DISCRIPTION,,,
PROPERTY_THIRST_NAME,Thirst,Жажда,Durst
PROPERTY_THIRST_DISCRIPTION,,,
EVENT_ACTION_DOTS_NAME,…,…,…
EVENT_ACTION_DOTS_DISCRIPTION,…,…,…
EVENT_BS_DEFUALT_NAME,Go in search,Пойти на поиски,Gehen Sie auf die Suche
EVENT_BS_DEFUALT_START,There are few vegetation around you.  Maybe you should look further?,Вокруг вас немного растительности. Может стоит поискать дальше?,Es gibt nur wenige Vegetation um dich herum.  Vielleicht solltest du weiter schauen?
EVENT_ACTION_SEARCH_NAME,Search,Искать,Suchen
EVENT_ACTION_FINISH_NAME,Return,Вернуться,Zurückkehren
EVENT_BS_FLOWERS_NAME,,Цветочная поляна,Blumenwiese
EVENT_BS_FLOWERS_START,You went to the clearing with flowers,Вы вышли на поляну с цветами,Sie gingen mit Blumen zur Lichtung
EVENT_ACTION_COLLECT_SOME_NAME,Gather a little,Собрать немного,Ein wenig sammeln
EVENT_ACTION_PASS_BY_NAME,Pass by,Пройти мимо,Vorbeikommen
EVENT_BS_FLOWERS_REWARD_1,You have collected several colors: \ n,Вы собрали несколько цветов:\n,Sie haben mehrere Farben gesammelt: \ n
EVENT_BS_EXIT,"You decide not to waste time collecting them.  Who knows, maybe you can find something better ...","Вы решаете не тратить время на их сбор. Кто знает, может вы сможете найти что то получше…","Sie beschließen, keine Zeit damit zu verschwenden, sie zu sammeln.  Wer weiß, vielleicht finden Sie etwas Besseres ..."
EVENT_BS_NOTHING_NAME,Nothing!,Ничего!,Nichts!
EVENT_BS_NOTHING_START,"After some time, you notice that you walk in circles.  You could not find something useful ...","Через какое то время вы замечаете, что ходите кругами. Вам не удалось найти что то полезное…","Nach einiger Zeit bemerken Sie, dass Sie im Kreis gehen.  Sie konnten nichts Nützliches finden ..."
EVENT_BS_WOOD_1_NAME,Flying trees,Поваленые деревья,Fliegende Bäume
EVENT_BS_WOOD_1_START,"Wandering around the district you notice, fallen trees","Бродя по округе вы замечаете, поваленные деревья","Durch den Bezirk, den Sie bemerken"
EVENT_BS_WOOD_1_REWARD,You collected a little brushwood,Вы собрали немного хвороста,Sie haben ein kleines Pinselholz gesammelt
EVENT_BS_WOOD_2_NAME,Apple,Яблоня,Apfel
EVENT_BS_WOOD_2_START,,,
EVENT_BS_WOOD_3_NAME,Forest spring,Лесной родник,Waldfeder
EVENT_BS_WOOD_3_START, ,,
EVENT_BS_WOOD_HOUSE_NAME,A tree hut,Древянная хижина,Eine Baumhütte
EVENT_BS_WOOD_HOUSE_START,,,
EVENT_BS_ANIMAL_CORPSE_NAME,Torn animal,Растерзанное животное,Zerrissenes Tier
EVENT_BS_ANIMAL_CORPSE_START,,,
ITEM_BUILDING_BONFIRE_NAME,Caster,Кастер,Zaubernde
ITEM_BUILDING_BONFIRE_DISCRIPTION,,,
ITEM_FOOD_CANNED_FOOD_NAME,Conserva,Консерва,Conserva
ITEM_FOOD_CANNED_FOOD_DISCRIPTION,,,
ITEM_FOOD_FRESH_MEAT_NAME,Raw meat,Сырое мясо,Rohes Fleisch
ITEM_FOOD_FRESH_MEAT_DISCRIPTION,,,
ITEM_FOOD_FRY_MEAT_NAME,Fried meat,Жаренное мясо,Gebratenes Fleisch
ITEM_FOOD_FRY_MEAT_DISCRIPTION,,,
ITEM_FOOD_WATER_CLEAR_NAME,Pure water,Чистая вода,Reines Wasser
ITEM_FOOD_WATER_CLEAR_DISCRIPTION,,,
ITEM_RESOURCE_DUCT_TAPE_NAME,Insulating tape,Изолента,Isolierband
ITEM_RESOURCE_DUCT_TAPE_DISCRIPTION,,,
ITEM_RESOURCE_FLINT_NAME,Flint,Кремень,Feuerstein
ITEM_RESOURCE_FLINT_DISCRIPTION,,,
ITEM_RESOURCE_STICK_NAME,Stick,Палка,Stock
ITEM_RESOURCE_STICK_DISCRIPTION,,,
ITEM_RESOURCE_WOOD_NAME,Wood,Деревяшка,Holz
ITEM_RESOURCE_WOOD_DISCRIPTION,,,
ITEM_TOOL_HOMEMADE_AXE_NAME,Homemade ax,Самодельный топор,Hausgemachte Axt
ITEM_TOOL_HOMEMADE_AXE_DISCRIPTION,,,
ITEM_TOOL_HOMEMADE_KNIFE_NAME,Homemade knife,Самодельный нож,Hausgemachtes Messer
ITEM_TOOL_HOMEMADE_KNIFE_DISCRIPTION,,,
ITEM_TOOL_PRIMUS_NAME,Primus,Примус,Primus
ITEM_TOOL_PRIMUS_DISCRIPTION,,,
ITEM_TOOL_SAUCEPAN_NAME,Pot,Кастрюля,Pot
ITEM_TOOL_SAUCEPAN_DISCRIPTION,,,
SEARCH_DROP_NONE_NAME,Searked nothing,Поис ничего,Nichts gesetzt
SEARCH_DROP_TEST_NAME,Search Test,Поиск Тест,Suchtest
SEARCH_DROP_FOREST_BIOME_NAME,Search for forest,Поиск Лес,Suche nach Wald
STRUCTURE_CROSSROAD_NAME,Transition,Переход,Übergang
STRUCTURE_CROSSROAD_DISCRIPTION,It looks empty,Выглядит пустым,Es sieht leer aus
STRUCTURE_HOUSE_NAME,House,Дом,Haus
STRUCTURE_HOUSE_DISCRIPTION,An ordinary residential building,Обычный жилой дом,Ein gewöhnliches Wohngebäude
INVENTORY_TITLE,Inventory,Инвентарь,Inventar
LOCATION_TITLE,Location,Локация,Standort
KEY_BUTTON_DROP,Drop,Бросить,Aufhören
KEY_BUTTON_PICKUP,Pick up,Подобрать,Abholen
BIOME_GRASS_NAME,Polyana,Поляна,Polyana
BIOME_GRASS_DISCRIPTION,Just a cover of different herbs,Просто кавер из разных трав,Nur eine Abdeckung verschiedener Kräuter
BIOME_FOREST_NAME,Forest,Лес,Wald
BIOME_FOREST_DISCRIPTION,Thickets of trees,Заросли из деревьев,Dickicht von Bäumen
